team,association,variable,Unit,Date,Value
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1993M8,34
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1993M9,30
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1993M10,31
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1993M11,33
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1993M12,35
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M2,37
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M3,37
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M4,38
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M5,46
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M6,48
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M7,48
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M9,50
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M10,58
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M11,55
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1994M12,57
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M2,54
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M4,53
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M5,55
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M6,57
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M7,56
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M8,50
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M9,50
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M10,51
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M11,47
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1995M12,48
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M1,44
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M2,44
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M4,46
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M5,46
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M7,44
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M8,43
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M9,44
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M10,46
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M11,49
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1996M12,49
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M2,53
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M4,56
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M5,59
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M6,60
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M7,60
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M8,47
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M9,51
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M10,53
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M11,55
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1997M12,59
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M2,59
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M3,59
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M4,58
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M5,57
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M7,63
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M8,64
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M9,56
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M10,69
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M11,61
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1998M12,71
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1999M1,78
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1999M2,77
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1999M3,72
Algeria,FIFA - International Federation of Association Football,Rank,1 = the best team,1999M4,68
